day/month;Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Precip Accum;Condition
16.Jul;12:20 AM;72;57;60%;VAR;1 mph ;0 mph ;29,6;0;0;Fair
16.Jul;12:50 AM;73;57;57%;W;3 mph ;0 mph ;29,6;0;0;Fair
16.Jul;1:20 AM;75;57;53%;CALM;0 mph ;0 mph ;29,6;0;0;Fair
16.Jul;1:50 AM;72;57;60%;CALM;0 mph ;0 mph ;29,6;0;0;Fair
16.Jul;2:20 AM;72;57;60%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:50 AM;72;59;64%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:20 AM;72;59;64%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:50 AM;70;59;68%;W;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:20 AM;72;59;64%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:50 AM;70;57;64%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:20 AM;68;57;68%;W;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:50 AM;68;59;73%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:20 AM;66;57;73%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:50 AM;73;57;57%;W;3 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:20 AM;73;59;61%;VAR;1 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:50 AM;77;57;50%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:20 AM;81;57;45%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:50 AM;81;57;45%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:20 AM;84;55;37%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:50 AM;86;54;33%;SSE;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;10:20 AM;84;59;42%;ESE;5 mph ;0 mph ;29,5;0;0;Fair
16.Jul;10:50 AM;88;50;27%;ENE;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;11:20 AM;88;54;31%;ENE;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;11:50 AM;88;52;29%;ESE;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;12:20 PM;90;52;27%;ENE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;12:50 PM;90;50;26%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;1:20 PM;91;48;23%;ENE;9 mph ;0 mph ;29,5;0;0;Fair
16.Jul;1:50 PM;91;50;24%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:20 PM;91;50;24%;E;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;2:50 PM;93;52;24%;E;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:20 PM;93;54;26%;ESE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;3:50 PM;91;54;28%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:20 PM;93;54;26%;ESE;6 mph ;0 mph ;29,5;0;0;Fair
16.Jul;4:50 PM;93;55;28%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:20 PM;91;55;29%;E;10 mph ;0 mph ;29,5;0;0;Fair
16.Jul;5:50 PM;91;55;29%;ENE;12 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:20 PM;90;57;33%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;6:50 PM;88;57;35%;E;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:20 PM;88;57;35%;ESE;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;7:50 PM;86;55;35%;SSE;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:20 PM;84;55;37%;SW;8 mph ;0 mph ;29,5;0;0;Fair
16.Jul;8:50 PM;82;57;42%;SW;7 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:20 PM;82;57;42%;SW;3 mph ;0 mph ;29,5;0;0;Fair
16.Jul;9:50 PM;82;55;39%;W;3 mph ;0 mph ;29,6;0;0;Fair
16.Jul;10:20 PM;81;54;39%;W;2 mph ;0 mph ;29,6;0;0;Fair
16.Jul;10:50 PM;81;54;39%;W;2 mph ;0 mph ;29,6;0;0;Fair
16.Jul;11:20 PM;81;50;34%;VAR;1 mph ;0 mph ;29,6;0;0;Fair
16.Jul;11:50 PM;79;54;42%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;12:20 AM;79;54;42%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;12:50 AM;77;54;44%;NNW;1 mph ;0 mph ;29,5;0;0;Fair
17.Jul;1:20 AM;79;55;44%;W;1 mph ;0 mph ;29,5;0;0;Fair
17.Jul;1:50 AM;77;57;50%;W;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;2:20 AM;77;57;50%;W;2 mph ;0 mph ;29,5;0;0;Fair
17.Jul;2:50 AM;77;57;50%;SW;5 mph ;0 mph ;29,5;0;0;Fair
17.Jul;3:20 AM;77;57;50%;SW;5 mph ;0 mph ;29,5;0;0;Fair
17.Jul;3:50 AM;77;52;41%;WNW;2 mph ;0 mph ;29,5;0;0;Fair
17.Jul;4:20 AM;77;55;47%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;4:50 AM;75;55;50%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;5:20 AM;73;55;53%;W;1 mph ;0 mph ;29,5;0;0;Fair
17.Jul;5:50 AM;73;55;53%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;6:20 AM;73;55;53%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;6:50 AM;75;55;50%;WSW;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;7:20 AM;77;55;47%;WSW;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;7:50 AM;81;59;48%;S;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;8:20 AM;84;59;42%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;8:50 AM;86;57;37%;CALM;0 mph ;0 mph ;29,5;0;0;Fair
17.Jul;9:20 AM;86;61;43%;SE;5 mph ;0 mph ;29,5;0;0;Fair
17.Jul;9:50 AM;88;57;35%;VAR;1 mph ;0 mph ;29,5;0;0;Fair
17.Jul;10:20 AM;90;57;33%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;10:50 AM;91;57;31%;E;5 mph ;0 mph ;29,5;0;0;Fair
17.Jul;11:20 AM;93;63;36%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;11:50 AM;93;59;32%;E;6 mph ;0 mph ;29,5;0;0;Fair
17.Jul;12:20 PM;93;61;34%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
17.Jul;12:50 PM;93;59;32%;ESE;9 mph ;0 mph ;29,5;0;0;Fair
17.Jul;1:20 PM;95;59;30%;ESE;13 mph ;0 mph ;29,4;0;0;Fair
17.Jul;1:50 PM;99;55;24%;E;9 mph ;0 mph ;29,4;0;0;Fair
17.Jul;2:20 PM;99;59;27%;S;9 mph ;0 mph ;29,4;0;0;Fair
17.Jul;2:50 PM;99;55;24%;S;20 mph ;0 mph ;29,4;0;0;Fair
17.Jul;3:20 PM;95;57;28%;SSW;20 mph ;0 mph ;29,4;0;0;Fair
17.Jul;3:50 PM;95;55;26%;SSW;20 mph ;0 mph ;29,4;0;0;Fair
17.Jul;4:20 PM;95;57;28%;SSW;21 mph ;0 mph ;29,4;0;0;Fair / Windy
17.Jul;4:50 PM;93;57;30%;SSW;18 mph ;0 mph ;29,4;0;0;Fair
17.Jul;5:20 PM;93;57;30%;SW;16 mph ;0 mph ;29,4;0;0;Fair
17.Jul;5:50 PM;91;61;36%;SSW;18 mph ;0 mph ;29,4;0;0;Fair
17.Jul;6:20 PM;90;61;38%;SSW;18 mph ;0 mph ;29,4;0;0;Fair
17.Jul;6:50 PM;90;59;36%;SW;14 mph ;0 mph ;29,4;0;0;Fair
17.Jul;7:20 PM;90;59;36%;SW;16 mph ;0 mph ;29,4;0;0;Fair
17.Jul;7:50 PM;88;61;40%;SW;12 mph ;0 mph ;29,4;0;0;Fair
17.Jul;8:20 PM;88;59;38%;SW;13 mph ;0 mph ;29,4;0;0;Fair
17.Jul;8:50 PM;84;64;51%;SW;9 mph ;0 mph ;29,4;0;0;Fair
17.Jul;9:20 PM;84;66;55%;W;7 mph ;0 mph ;29,4;0;0;Fair
17.Jul;9:50 PM;82;64;54%;E;8 mph ;0 mph ;29,4;0;0;Fair
17.Jul;10:20 PM;88;57;35%;WSW;8 mph ;0 mph ;29,4;0;0;Fair
17.Jul;10:50 PM;82;61;48%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
17.Jul;11:20 PM;84;61;45%;E;8 mph ;0 mph ;29,4;0;0;Fair
17.Jul;11:50 PM;84;55;37%;WSW;5 mph ;0 mph ;29,4;0;0;Fair
18.Jul;12:20 AM;86;54;33%;W;10 mph ;0 mph ;29,4;0;0;Fair
18.Jul;12:50 AM;84;57;40%;W;14 mph ;0 mph ;29,4;0;0;Fair
18.Jul;1:20 AM;82;61;48%;WNW;6 mph ;0 mph ;29,4;0;0;Fair
18.Jul;1:50 AM;81;61;51%;WNW;8 mph ;0 mph ;29,4;0;0;Fair
18.Jul;2:20 AM;82;59;45%;VAR;2 mph ;0 mph ;29,4;0;0;Fair
18.Jul;2:50 AM;79;61;54%;VAR;2 mph ;0 mph ;29,4;0;0;Fair
18.Jul;3:20 AM;79;59;51%;CALM;0 mph ;0 mph ;29,3;0;0;Fair
18.Jul;3:50 AM;77;61;57%;VAR;1 mph ;0 mph ;29,3;0;0;Fair
18.Jul;4:20 AM;77;63;61%;VAR;1 mph ;0 mph ;29,3;0;0;Fair
18.Jul;4:50 AM;77;61;57%;VAR;3 mph ;0 mph ;29,3;0;0;Fair
18.Jul;5:20 AM;79;59;51%;CALM;0 mph ;0 mph ;29,3;0;0;Fair
18.Jul;5:50 AM;79;57;47%;ENE;3 mph ;0 mph ;29,4;0;0;Fair
18.Jul;6:20 AM;77;59;54%;NNE;9 mph ;0 mph ;29,4;0;0;Fair
18.Jul;6:50 AM;81;59;48%;W;6 mph ;0 mph ;29,4;0;0;Fair
18.Jul;7:20 AM;81;63;54%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
18.Jul;7:50 AM;81;64;58%;NNE;6 mph ;0 mph ;29,4;0;0;Fair
18.Jul;8:20 AM;82;64;54%;NNW;5 mph ;0 mph ;29,4;0;0;Fair
18.Jul;8:50 AM;82;64;54%;NW;10 mph ;0 mph ;29,4;0;0;Fair
18.Jul;9:20 AM;84;64;51%;NNW;9 mph ;0 mph ;29,4;0;0;Fair
18.Jul;9:50 AM;86;59;40%;NW;15 mph ;0 mph ;29,4;0;0;Fair
18.Jul;10:20 AM;88;55;33%;NNW;14 mph ;0 mph ;29,4;0;0;Fair
18.Jul;10:50 AM;88;55;33%;NW;14 mph ;0 mph ;29,4;0;0;Fair
18.Jul;11:20 AM;90;55;31%;NNW;15 mph ;26 mph ;29,4;0;0;Fair
18.Jul;11:50 AM;90;55;31%;NNW;14 mph ;0 mph ;29,4;0;0;Fair
18.Jul;12:20 PM;90;55;31%;N;13 mph ;0 mph ;29,4;0;0;Fair
18.Jul;12:50 PM;90;55;31%;N;10 mph ;0 mph ;29,4;0;0;Fair
18.Jul;1:20 PM;90;54;29%;NNW;10 mph ;0 mph ;29,4;0;0;Fair
18.Jul;1:50 PM;90;54;29%;NW;13 mph ;0 mph ;29,4;0;0;Partly Cloudy
18.Jul;2:20 PM;91;55;29%;NNW;8 mph ;20 mph ;29,4;0;0;Partly Cloudy
18.Jul;2:50 PM;90;59;36%;NE;15 mph ;0 mph ;29,4;0;0;Partly Cloudy
18.Jul;3:20 PM;88;59;38%;NE;20 mph ;0 mph ;29,4;0;0;Partly Cloudy
18.Jul;3:50 PM;90;57;33%;NE;15 mph ;0 mph ;29,4;0;0;Partly Cloudy
18.Jul;4:20 PM;88;57;35%;ENE;12 mph ;0 mph ;29,4;0;0;Mostly Cloudy
18.Jul;4:50 PM;90;54;29%;SE;7 mph ;0 mph ;29,4;0;0;Mostly Cloudy
18.Jul;5:20 PM;91;55;29%;SSW;5 mph ;0 mph ;29,4;0;0;Mostly Cloudy
18.Jul;5:50 PM;91;55;29%;NNW;10 mph ;0 mph ;29,4;0;0;Partly Cloudy
18.Jul;6:20 PM;91;55;29%;NNW;13 mph ;0 mph ;29,4;0;0;Fair
18.Jul;6:50 PM;90;54;29%;NW;12 mph ;0 mph ;29,4;0;0;Fair
18.Jul;7:20 PM;90;50;26%;N;12 mph ;0 mph ;29,4;0;0;Fair
18.Jul;7:50 PM;88;46;24%;NNW;8 mph ;0 mph ;29,4;0;0;Fair
18.Jul;8:20 PM;88;46;24%;N;8 mph ;0 mph ;29,4;0;0;Fair
18.Jul;8:50 PM;86;50;29%;N;7 mph ;0 mph ;29,4;0;0;Fair
18.Jul;9:20 PM;86;48;27%;SW;5 mph ;0 mph ;29,4;0;0;Fair
18.Jul;9:50 PM;82;63;51%;WSW;7 mph ;0 mph ;29,4;0;0;Fair
18.Jul;10:20 PM;81;66;61%;SW;8 mph ;0 mph ;29,4;0;0;Fair
18.Jul;10:50 PM;81;66;61%;SW;7 mph ;0 mph ;29,4;0;0;Fair
18.Jul;11:20 PM;79;66;65%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
18.Jul;11:50 PM;79;64;61%;SW;5 mph ;0 mph ;29,4;0;0;Fair
19.Jul;12:20 AM;79;64;61%;SW;6 mph ;0 mph ;29,4;0;0;Fair
19.Jul;12:50 AM;77;64;65%;VAR;3 mph ;0 mph ;29,4;0;0;Fair
19.Jul;1:20 AM;75;64;69%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
19.Jul;1:50 AM;75;64;69%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
19.Jul;2:20 AM;73;63;69%;CALM;0 mph ;0 mph ;29,4;0;0;Fair
19.Jul;2:50 AM;77;59;54%;VAR;2 mph ;0 mph ;29,4;0;0;Fair
19.Jul;3:20 AM;79;54;42%;WNW;6 mph ;0 mph ;29,4;0;0;Fair
19.Jul;3:50 AM;81;50;34%;WNW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;4:20 AM;81;48;32%;NW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;4:50 AM;81;50;34%;NNW;6 mph ;0 mph ;29,4;0;0;Fair
19.Jul;5:20 AM;81;50;34%;NNW;7 mph ;0 mph ;29,4;0;0;Fair
19.Jul;5:50 AM;81;50;34%;N;7 mph ;0 mph ;29,4;0;0;Fair
19.Jul;6:20 AM;79;50;36%;VAR;2 mph ;0 mph ;29,4;0;0;Fair
19.Jul;6:50 AM;81;50;34%;VAR;3 mph ;0 mph ;29,4;0;0;Fair
19.Jul;7:20 AM;82;50;32%;VAR;1 mph ;0 mph ;29,4;0;0;Fair
19.Jul;7:50 AM;82;52;35%;VAR;2 mph ;0 mph ;29,4;0;0;Fair
19.Jul;8:20 AM;82;50;32%;NW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;8:50 AM;84;52;33%;NW;10 mph ;0 mph ;29,4;0;0;Fair
19.Jul;9:20 AM;86;52;31%;NW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;9:50 AM;86;52;31%;NW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;10:20 AM;88;52;29%;NW;9 mph ;0 mph ;29,4;0;0;Fair
19.Jul;10:50 AM;90;52;27%;WNW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;11:20 AM;90;50;26%;WNW;6 mph ;0 mph ;29,4;0;0;Fair
19.Jul;11:50 AM;90;48;24%;WNW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;12:20 PM;91;50;24%;NW;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;12:50 PM;90;54;29%;VAR;6 mph ;0 mph ;29,4;0;0;Fair
19.Jul;1:20 PM;90;50;26%;VAR;8 mph ;0 mph ;29,4;0;0;Fair
19.Jul;1:50 PM;90;52;27%;ENE;5 mph ;0 mph ;29,4;0;0;Fair
19.Jul;2:20 PM;90;52;27%;E;10 mph ;0 mph ;29,4;0;0;Fair
19.Jul;2:50 PM;91;50;24%;E;10 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;3:20 PM;91;50;24%;SE;12 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;3:50 PM;91;52;26%;SE;10 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;4:20 PM;91;50;24%;ESE;12 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;4:50 PM;91;57;31%;S;14 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;5:20 PM;90;55;31%;S;13 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;5:50 PM;90;57;33%;S;12 mph ;0 mph ;29,4;0;0;Fair
19.Jul;6:20 PM;90;54;29%;SSW;13 mph ;0 mph ;29,4;0;0;Fair
19.Jul;6:50 PM;88;52;29%;SSW;14 mph ;0 mph ;29,4;0;0;Fair
19.Jul;7:20 PM;86;54;33%;SSW;13 mph ;0 mph ;29,4;0;0;Fair
19.Jul;7:50 PM;84;59;42%;SSW;13 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;8:20 PM;84;59;42%;SW;10 mph ;0 mph ;29,4;0;0;Mostly Cloudy
19.Jul;8:50 PM;82;61;48%;VAR;1 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;9:20 PM;81;63;54%;VAR;2 mph ;0 mph ;29,4;0;0;Partly Cloudy
19.Jul;9:50 PM;82;61;48%;N;3 mph ;0 mph ;29,4;0;0;Mostly Cloudy
19.Jul;10:20 PM;79;61;54%;N;3 mph ;0 mph ;29,5;0;0;Mostly Cloudy
19.Jul;10:50 PM;79;64;61%;ENE;9 mph ;0 mph ;29,5;0;0;Mostly Cloudy
19.Jul;11:20 PM;81;57;45%;E;3 mph ;0 mph ;29,5;0;0;Mostly Cloudy
19.Jul;11:50 PM;81;61;51%;E;1 mph ;0 mph ;29,5;0;0;Mostly Cloudy
20.Jul;12:20 AM;79;61;54%;CALM;0 mph ;0 mph ;29,5;0;0;Mostly Cloudy
20.Jul;12:50 AM;77;61;57%;W;5 mph ;0 mph ;29,5;0;0;Mostly Cloudy
20.Jul;1:20 AM;77;61;57%;VAR;2 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;1:50 AM;75;59;57%;NW;2 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;2:20 AM;75;59;57%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
20.Jul;2:50 AM;73;59;61%;W;2 mph ;0 mph ;29,5;0;0;Fair
20.Jul;3:20 AM;75;57;53%;NNW;5 mph ;0 mph ;29,5;0;0;Fair
20.Jul;3:50 AM;79;55;44%;VAR;1 mph ;0 mph ;29,5;0;0;Fair
20.Jul;4:20 AM;77;57;50%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
20.Jul;4:50 AM;77;57;50%;SSW;1 mph ;0 mph ;29,5;0;0;Fair
20.Jul;5:20 AM;75;59;57%;VAR;3 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;5:50 AM;77;57;50%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
20.Jul;6:20 AM;75;59;57%;VAR;2 mph ;0 mph ;29,5;0;0;Fair
20.Jul;6:50 AM;77;59;54%;VAR;3 mph ;0 mph ;29,5;0;0;Fair
20.Jul;7:20 AM;79;57;47%;N;6 mph ;0 mph ;29,5;0;0;Fair
20.Jul;7:50 AM;81;59;48%;N;8 mph ;0 mph ;29,5;0;0;Fair
20.Jul;8:20 AM;82;57;42%;NNW;10 mph ;0 mph ;29,5;0;0;Fair
20.Jul;8:50 AM;82;57;42%;NNW;10 mph ;0 mph ;29,5;0;0;Fair
20.Jul;9:20 AM;84;57;40%;N;13 mph ;0 mph ;29,5;0;0;Fair
20.Jul;9:50 AM;84;57;40%;NNW;14 mph ;0 mph ;29,5;0;0;Fair
20.Jul;10:20 AM;86;57;37%;NNW;13 mph ;0 mph ;29,5;0;0;Fair
20.Jul;10:50 AM;86;57;37%;NW;12 mph ;0 mph ;29,5;0;0;Fair
20.Jul;11:20 AM;86;57;37%;NW;12 mph ;0 mph ;29,5;0;0;Fair
20.Jul;11:50 AM;86;57;37%;NNE;8 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;12:20 PM;86;57;37%;NNW;7 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;12:50 PM;86;57;37%;ENE;14 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;1:20 PM;88;59;38%;NE;14 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;1:50 PM;88;57;35%;ENE;14 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;2:20 PM;90;59;36%;ENE;13 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;2:50 PM;88;57;35%;E;10 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;3:20 PM;88;59;38%;E;9 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;3:50 PM;88;59;38%;ESE;9 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;4:20 PM;88;59;38%;ENE;9 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;4:50 PM;88;63;43%;ESE;8 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;5:20 PM;88;61;40%;E;6 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;5:50 PM;88;59;38%;E;7 mph ;0 mph ;29,5;0;0;Partly Cloudy
20.Jul;6:20 PM;86;59;40%;NE;9 mph ;0 mph ;29,5;0;0;Fair
20.Jul;6:50 PM;86;59;40%;ENE;9 mph ;0 mph ;29,5;0;0;Fair
20.Jul;7:20 PM;86;59;40%;NE;7 mph ;0 mph ;29,5;0;0;Fair
20.Jul;7:50 PM;84;61;45%;NNE;5 mph ;0 mph ;29,5;0;0;Fair
20.Jul;8:20 PM;84;63;48%;SSW;7 mph ;0 mph ;29,5;0;0;Fair
